"t","a","v","w","sv","sw","wienr","err"
1.54177840214688,0.6,-1,0.5,2,0.2,2.04178846096465e-09,1.00000000001654e-13
1.87114244481782,2.5,-3,0.7,1,0.4,0.0277449570000551,1.01949829186998e-13
1.77697243905859,1.5,0,0.5,1,0.2,0.0185397378064719,1e-13
2.70273048734525,1.5,0,0.5,1,0.4,0.00196002977087737,1.00000433680869e-13
1.74596303445287,1,-3,0.7,0.5,0.2,7.10696322804947e-06,1.00000003388132e-13
0.974122612155043,1,-3,0.5,0.5,0.05,0.00232180016668115,1.00000433680869e-13
1.46600597485667,1,-0.2,0.5,1,0.2,0.00153784565980974,1.00000216840435e-13
1.80708304703003,1,0,0.7,2,0.4,0.000124263900520236,1.00000054210109e-13
0.248837317188736,1,1.5,0.5,2,0.05,0.498963722847084,1.00055511151231e-13
2.21787641206756,2.5,-0.2,0.3,1,0.2,0.0445858282027067,1.00006938893904e-13
1.94833353894064,1,-3,0.5,2,0.05,3.2721696796865e-05,1e-13
0.248696805455256,1,-3,0.7,0.5,0.4,1.6363628311026,1.04662936703426e-13
2.10754295712104,0.6,-0.2,0.7,0.5,0.05,1.69025608007199e-12,1.00000000000002e-13
1.08031836353475,2.5,0.5,0.5,2,0.2,0.143240430205827,1e-13
0.976518004981335,1,4,0.7,1,0.4,7.73487265692832e-05,1.00000040657581e-13
2.94783481872873,0.6,0,0.3,1,0.2,9.91522660817212e-18,1e-13
2.26284293890931,1,0.5,0.5,0.5,0.2,2.53523707952677e-05,1.00000006776264e-13
2.1293287136592,1,0.5,0.5,2,0.05,2.77486580673034e-05,1.00000003388132e-13
0.707543654413894,1.5,-1,0.7,0.5,0.4,0.397879777660378,1.00055511151231e-13
0.802914136613254,0.6,1.5,0.7,2,0.2,4.24543611075887e-05,1.00000013552527e-13
1.9683230250841,2.5,4,0.7,2,0.05,0.00433033514519616,1.00000867361738e-13
1.8709334149491,1.5,1.5,0.5,1,0.4,0.00458605699744746,1.00000867361738e-13
0.797365042706952,1.5,-1,0.5,0.5,0.2,0.31136803064181,1.00055511151231e-13
1.58043428077362,1,-0.2,0.7,1,0.05,0.00074322940722811,1.00000108420217e-13
0.174852436606307,0.6,-0.2,0.7,0.5,0.4,0.645051059881587,1.00222044604925e-13
1.43901750100777,1,-0.2,0.5,2,0.05,0.00108284433317438,1.00000216840435e-13
2.63486276578624,1.5,-0.2,0.3,1,0.05,0.00190165060023486,1.00000216840435e-13
2.85196785496082,2.5,-0.2,0.5,0.5,0.2,0.0499741329329569,1.00006938893904e-13
2.28021225081757,2.5,-1,0.5,1,0.4,0.0579798556659427,1.00006938893904e-13
2.78279124586843,1,-1,0.5,2,0.4,8.89891118099535e-07,1.00000000211758e-13
1.69290412687697,2.5,-0.2,0.3,0.5,0.2,0.105266793925396,1e-13
1.87707493174821,1,4,0.5,1,0.4,4.68880376044154e-07,1.00000000211758e-13
2.80015815105289,1.5,-3,0.5,0.5,0.4,5.36699677828356e-06,1.00000001694066e-13
2.02987143381033,2.5,-0.2,0.5,2,0.05,0.0482810830876454,1e-13
0.201404557144269,1.5,1.5,0.7,1,0.4,0.119013266609367,2.16698317675912e-13
0.570492763654329,1,0.5,0.7,2,0.05,0.0994445915237635,1.00013877787808e-13
1.67505054628709,1,0.5,0.7,0.5,0.05,0.000385820115927048,1.00000108420217e-13
0.64327545753913,1.5,-3,0.5,1,0.4,0.214652676623409,1.00721644966006e-13
0.0739417510922067,1.5,4,0.3,2,0.2,0.452386138300622,1.09214851104389e-13
2.18204044514569,1,-0.2,0.3,1,0.2,3.0148817865159e-05,1.00000006776264e-13
2.78058023734484,0.6,0.5,0.7,0.5,0.2,1.08882661275039e-16,1e-13
2.78046435537981,0.6,0.5,0.7,1,0.2,8.8380054528288e-17,1e-13
0.609702423657291,1.5,-0.2,0.7,2,0.4,0.282993548511896,1.00333066907388e-13
1.09602095602313,1.5,1.5,0.5,1,0.05,0.0323297831940029,1e-13
0.332320224714931,1,1.5,0.7,0.5,0.2,0.131909750335155,1.00027755575616e-13
0.27500403841259,1.5,-0.2,0.3,1,0.05,0.881118556571163,1.00111022302463e-13
0.611058376927395,2.5,4,0.5,2,0.05,0.021976702553072,1e-13
0.831373299343977,0.6,4,0.5,2,0.05,7.99589994131344e-06,1e-13
0.410298051708378,1,1.5,0.3,1,0.05,0.153475351824373,1e-13
0.0733416766859591,1.5,-1,0.7,1,0.4,0.151964971683737,1.28303748234038e-13
0.119974507403094,2.5,0.5,0.5,2,0.2,0.109607802089804,1.71317951544358e-13
1.21063989108661,1,0,0.3,1,0.2,0.00437237626037519,1.00000867361738e-13
0.52524703075178,1,4,0.5,1,0.2,0.00351987775578696,1e-13
1.13955924820621,0.6,-0.2,0.5,0.5,0.05,1.31313628887035e-06,1.00000000423516e-13
1.347167651169,2.5,0,0.7,0.5,0.2,0.143782776297568,1.00027755575616e-13
2.99144272938138,1,-0.2,0.7,0.5,0.4,7.52475229859635e-07,1.00000000105879e-13
2.46678455186775,2.5,4,0.5,1,0.2,3.81769708695453e-05,1e-13
2.06580350690056,1.5,1.5,0.7,1,0.2,0.00230053899727462,1e-13
1.99181374418549,1,1.5,0.7,0.5,0.2,1.28441314711083e-05,1.00000001694066e-13
1.82119098306866,1.5,-3,0.7,0.5,0.4,0.00053438425785799,1.00000216840435e-13
0.365898603666574,0.6,0,0.7,1,0.2,0.0420046047975417,1e-13
1.93233393104747,1,4,0.3,2,0.4,8.74334252551007e-06,1.00000001694066e-13
0.817623051640112,1.5,-1,0.5,2,0.05,0.158404256843356,1e-13
1.76654949524673,1.5,-3,0.7,1,0.2,0.00296414452001698,1.00000433680869e-13
2.9209744328633,1.5,1.5,0.5,1,0.05,0.000405652118330547,1e-13
2.52659256547922,0.6,-0.2,0.7,1,0.2,3.47795859253584e-15,1e-13
1.99455194335897,0.6,4,0.7,0.5,0.2,6.05624875437804e-17,1e-13
1.23666444664123,0.6,-3,0.5,2,0.05,7.30479033046399e-08,1.0000000005294e-13
0.339959310286213,2.5,-1,0.5,0.5,0.2,0.780718305938803,1.00333066907388e-13
0.992431492137257,1,0.5,0.7,2,0.2,0.00925198352861003,1.00001734723476e-13
2.98759140396724,1,0,0.7,1,0.2,5.26024718043084e-07,1.00000000211758e-13
2.19255149194505,2.5,-1,0.7,1,0.2,0.0771403765833779,1e-13
2.07634451548802,1,-3,0.3,0.5,0.4,2.90233085005978e-07,1.00000000105879e-13
1.90631489158841,0.6,-0.2,0.3,0.5,0.4,2.44693946433353e-11,1.00000000000013e-13
2.42008212672081,0.6,-3,0.3,1,0.2,7.19828136870604e-16,1e-13
1.65242469684454,0.6,-0.2,0.7,1,0.05,6.63834127870577e-10,1.0000000000031e-13
2.59231039583683,0.6,1.5,0.7,2,0.05,5.83344295154872e-16,1e-13
2.95337536340812,1,0.5,0.5,1,0.2,6.42456984531322e-07,1.00000000105879e-13
1.7887439202168,1.5,-1,0.3,0.5,0.05,0.013898810441282,1.00001734723476e-13
0.214503696770407,1.5,-3,0.3,2,0.4,1.26134919898592,5.25215418431435e-13
1.60519964654231,1.5,4,0.3,0.5,0.05,8.32314699632758e-07,1.00000000317637e-13
1.87649607621133,2.5,-3,0.5,2,0.2,0.032450382316914,1e-13
0.528954160853755,0.6,-1,0.5,2,0.4,0.00353119472064906,1e-13
2.82434894654434,0.6,0.5,0.5,2,0.05,3.71650499632075e-17,1e-13
0.330112748662941,1,-0.2,0.5,1,0.4,0.592416797315197,1e-13
2.4434065435431,0.6,-0.2,0.7,0.5,0.4,1.52844870399362e-14,1e-13
2.97973720234586,0.6,-1,0.5,1,0.05,5.97761697250234e-18,1e-13
