"t","a","v","w","sv","sw","st0","wienr","rtd3"
0.590222511265893,1,-1,0.7,2,0.4,0.25,1.44681739572057,1.4471682647804
1.0445409857668,1,-0.2,0.3,0.5,0.05,0.1,0.0807896272989804,0.0807927288804008
1.41951464506565,1,-3,0.7,0.5,0.4,0.1,0.00131480528654763,0.00131535152400521
1.30946045524906,1,-3,0.7,1,0.2,0.25,0.0110498971385596,0.0110537961579483
1.57875346525107,0.6,0,0.5,2,0.4,0.25,7.74056586992193e-07,7.74150069222194e-07
1.84177840214688,0.6,-1,0.5,2,0.2,0.25,1.89369771885145e-08,1.89392528926013e-08
2.17114244481782,2.5,-3,0.7,1,0.4,0.25,0.0378750777227097,0.0378926197888548
2.07697243905859,1.5,0,0.5,1,0.2,0.25,0.0254692131956234,0.0254750167000627
3.00273048734525,1.5,0,0.5,1,0.4,0.25,0.00266891766322227,0.0026695564064385
2.04596303445287,1,-3,0.7,0.5,0.2,0.25,2.10936629773623e-05,2.11013331831794e-05
1.27412261215504,1,-3,0.5,0.5,0.05,0.25,0.0078211053775249,0.00782088324253504
1.76600597485667,1,-0.2,0.5,1,0.2,0.25,0.00315263817473752,0.00315335215645401
2.10708304703003,1,0,0.7,2,0.4,0.1,0.000163327973772731,0.000163371961032579
0.548837317188736,1,1.5,0.5,2,0.05,0.25,0.792133279828123,0.792099165937477
2.51787641206756,2.5,-0.2,0.3,1,0.2,0.1,0.0469480929241798,0.046953563059118
2.24833353894064,1,-3,0.5,2,0.05,0.1,4.32288310517238e-05,4.32305536888414e-05
0.548696805455256,1,-3,0.7,0.5,0.4,0.25,2.42445879408342,2.42492093362239
2.40754295712104,0.6,-0.2,0.7,0.5,0.05,0.1,3.64603204159874e-12,3.64581401761063e-12
1.38031836353475,2.5,0.5,0.5,2,0.2,0.25,0.175227341089022,0.175249775513991
1.27651800498133,1,4,0.7,1,0.4,0.1,0.000110063228331318,0.000110058915800331
3.24783481872873,0.6,0,0.3,1,0.2,0.1,2.14226561849699e-17,2.14253072465582e-17
2.56284293890931,1,0.5,0.5,0.5,0.2,0.1,3.29720217194547e-05,3.2979761473708e-05
2.4293287136592,1,0.5,0.5,2,0.05,0.1,3.6317712288582e-05,3.63192906118368e-05
1.00754365441389,1.5,-1,0.7,0.5,0.4,0.1,0.457004816598511,0.4571813339109
1.10291413661325,0.6,1.5,0.7,2,0.2,0.1,9.38007355033818e-05,9.38116528423206e-05
2.2683230250841,2.5,4,0.7,2,0.05,0.25,0.00493217685142756,0.00493247847005767
2.1709334149491,1.5,1.5,0.5,1,0.4,0.25,0.00629408857624869,0.00629556132155405
1.09736504270695,1.5,-1,0.5,0.5,0.2,0.25,0.451272897968584,0.451361374781948
1.88043428077362,1,-0.2,0.7,1,0.05,0.25,0.00152637091205878,0.00152645305731852
0.474852436606307,0.6,-0.2,0.7,0.5,0.4,0.1,1.3572036306548,1.35745170050984
1.73901750100777,1,-0.2,0.5,2,0.05,0.1,0.00142740569465261,0.00142746375137285
2.93486276578624,1.5,-0.2,0.3,1,0.05,0.25,0.00258819741512088,0.00258832066836885
3.15196785496082,2.5,-0.2,0.5,0.5,0.2,0.1,0.0523145322556659,0.0523260801473357
2.58021225081757,2.5,-1,0.5,1,0.4,0.25,0.0676744082318405,0.0676850527231422
3.08279124586843,1,-1,0.5,2,0.4,0.25,1.81028579723603e-06,1.81070524678119e-06
1.99290412687697,2.5,-0.2,0.3,0.5,0.2,0.1,0.110799199776641,0.110818747135751
2.17707493174821,1,4,0.5,1,0.4,0.25,1.07385024873399e-06,1.07405901215793e-06
3.10015815105289,1.5,-3,0.5,0.5,0.4,0.25,9.34199281161458e-06,9.34273259500867e-06
2.32987143381033,2.5,-0.2,0.5,2,0.05,0.1,0.0512448054457589,0.0512465136302042
0.501404557144269,1.5,1.5,0.7,1,0.4,0.1,0.0899485630271542,0.0898334045188805
0.870492763654329,1,0.5,0.7,2,0.05,0.1,0.134970617210827,0.134977440797575
1.97505054628709,1,0.5,0.7,0.5,0.05,0.1,0.000501938110311925,0.000501957615724316
0.94327545753913,1.5,-3,0.5,1,0.4,0.25,0.457385262216292,0.457381138657316
0.373941751092207,1.5,4,0.3,2,0.2,0.1,0.269331129116612,0.268102617849484
2.48204044514569,1,-0.2,0.3,1,0.2,0.1,3.93435770837217e-05,3.93519251392253e-05
3.08058023734484,0.6,0.5,0.7,0.5,0.2,0.1,2.3485838433895e-16,2.34884523666607e-16
3.08046435537981,0.6,0.5,0.7,1,0.2,0.25,7.87764843619244e-16,7.87860033680179e-16
0.909702423657291,1.5,-0.2,0.7,2,0.4,0.1,0.336084229220369,0.336206700691963
