"set","method","us_per_trial","n","n_acc","rel_diff"
33,"WienR 5e-3 (EMC2 default)",5.789856,1000,1000,0.00275737141228083
33,"WienR 1e-4",8.609713,1000,1000,0.00275737141228083
33,"WienR 1e-8",105.0834715,1000,1000,7.0803999774327e-08
33,"WienR 1e-12",767.478385,200,200,5.08926234488172e-13
33,"WienR 1e-12 + 5 grads",6650.268675,200,200,5.08926234488172e-13
34,"ours 1e-12 (density + 7 grads)",10.3676495,1000,1000,0
34,"rtdists precision=3",39.933508,1000,1000,0.00725626120171663
34,"rtdists precision=5",2412.58309,100,100,7.93543264632213e-05
34,"rtdists precision=8",1135834.68008,25,50,2.86734843646386e-08
34,"WienR 5e-3 (EMC2 default)",15.1389015,1000,1000,0.0393863311976934
34,"WienR 1e-4",50.4474865,1000,1000,0.0393863311976934
34,"WienR 1e-8",686.1262465,1000,1000,2.69581990064438e-07
34,"WienR 1e-12",1329.01992,200,200,2.69581990064438e-07
34,"WienR 1e-12 + 5 grads",9819.622795,200,200,2.69581990064438e-07
35,"ours 1e-12 (density + 7 grads)",8.7001385,1000,1000,0
35,"rtdists precision=3",7.284019,1000,1000,0.0656095828876887
35,"rtdists precision=5",281.75692,100,100,2.24478969490516e-05
35,"rtdists precision=8",140493.516519231,26,51,4.51160719894261e-08
35,"WienR 5e-3 (EMC2 default)",18.3583035,1000,1000,0.0241133366364845
35,"WienR 1e-4",38.8700705,1000,1000,0.000380376666046622
35,"WienR 1e-8",588.1369435,1000,1000,5.62393431824404e-09
35,"WienR 1e-12",1111.342925,200,200,2.26006990899918e-11
35,"WienR 1e-12 + 5 grads",8235.38382,200,200,2.26006990899918e-11
36,"ours 1e-12 (density + 7 grads)",11.0143015,1000,1000,0
36,"rtdists precision=3",74.583182,1000,1000,0.00735910373852011
36,"rtdists precision=5",4769.96132,100,100,5.12447793095117e-05
36,"rtdists precision=8",2198042.1112,25,50,1.10751916193585e-07
36,"WienR 5e-3 (EMC2 default)",23.807429,1000,1000,0.134512997127082
36,"WienR 1e-4",82.8606925,1000,1000,0.0106163006152215
36,"WienR 1e-8",784.8766325,1000,1000,7.43164847438749e-07
36,"WienR 1e-12",1216.972865,200,200,3.04558551711409e-08
36,"WienR 1e-12 + 5 grads",9198.23233,200,200,3.04558551711409e-08
37,"ours 1e-12 (density + 7 grads)",9.7488365,1000,1000,0
37,"rtdists precision=3",37.599747,1000,1000,0.0128247856732516
37,"rtdists precision=5",2340.20169,100,100,7.71514613124857e-05
37,"rtdists precision=8",1118859.14668,25,50,1.44828271597675e-08
37,"WienR 5e-3 (EMC2 default)",11.7518095,1000,1000,0.0390897482066939
37,"WienR 1e-4",37.972806,1000,1000,0.0009317296961453
37,"WienR 1e-8",608.329792,1000,1000,7.2611618384677e-08
37,"WienR 1e-12",1192.30214,200,200,1.00283870096973e-09
37,"WienR 1e-12 + 5 grads",8694.181815,200,200,1.00283870096973e-09
38,"ours 1e-12 (density + 7 grads)",10.59235,1000,1000,0
38,"rtdists precision=3",86.3595505,1000,1000,0.24956870530955
38,"rtdists precision=5",5183.78908,100,100,1.7328461970445e-05
38,"rtdists precision=8",2513702.99146,25,50,3.72932944525672e-08
38,"WienR 5e-3 (EMC2 default)",25.540827,1000,1000,0.141856163579427
38,"WienR 1e-4",86.7642,1000,1000,0.00576532547552455
38,"WienR 1e-8",943.114595,1000,1000,2.5680295789865e-07
38,"WienR 1e-12",1251.00307,200,200,1.16244525116826e-08
38,"WienR 1e-12 + 5 grads",9517.322415,200,200,1.16244525116826e-08
39,"ours 1e-12 (density + 7 grads)",10.6046705,1000,1000,0
39,"rtdists precision=3",120.2628605,1000,1000,0.00761318317305837
39,"rtdists precision=5",7385.38166,100,100,2.38780568393437e-05
39,"rtdists precision=8",3295151.38108,25,50,4.45047650954322e-08
39,"WienR 5e-3 (EMC2 default)",45.1313445,1000,1000,0.128921157098016
39,"WienR 1e-4",181.290602,1000,1000,0.00813160573878813
39,"WienR 1e-8",1169.3317875,1000,1000,7.22671971375988e-07
